service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
91170,1,1,1,1,1,0,0,20260118,20270201
91171,1,1,1,1,1,0,0,20260118,20270201
91173,0,0,0,0,0,1,1,20260118,20270201
91062,1,1,1,1,1,0,0,20260117,20270201
91065,0,0,0,0,0,1,1,20260118,20270201
84864,1,1,1,1,1,0,0,20251113,20270201
84715,0,0,0,0,0,1,1,20251112,20270201
90513,1,1,1,1,1,0,0,20260112,20270201
90514,0,0,0,0,0,1,1,20260118,20270201
84865,1,1,1,1,1,0,0,20251113,20270201
86469,0,0,0,0,0,1,1,20251129,20270201
91770,1,1,1,1,1,0,0,20260126,20270201
85728,0,0,0,0,0,1,1,20251122,20270201
90515,1,1,1,1,1,0,0,20260112,20270201
90516,0,0,0,0,0,1,1,20260118,20270201
86165,1,1,1,1,1,0,0,20251126,20270201
86471,0,0,0,0,0,1,1,20251129,20270201
91179,1,1,1,1,1,0,0,20260118,20270201
91180,0,0,0,0,0,1,1,20260118,20270201
69155,1,1,1,1,1,0,0,20250611,20270201
89506,0,0,0,0,0,1,1,20260101,20270201
91063,1,1,1,1,1,0,0,20260117,20270201
91066,0,0,0,0,0,1,1,20260118,20270201
91188,1,1,1,1,1,0,0,20260118,20270201
80764,0,0,0,0,0,1,1,20251004,20270201
91189,1,1,1,1,1,0,0,20260118,20270201
91174,1,1,1,1,1,0,0,20260118,20270201
91175,0,0,0,0,0,1,1,20260118,20270201
77633,1,1,1,1,1,0,0,20250901,20270201
85733,0,0,0,0,0,1,1,20251122,20270201
91176,1,1,1,1,1,0,0,20260118,20270201
91177,0,0,0,0,0,1,1,20260118,20270201
91773,1,1,1,1,1,0,0,20260126,20270201
91772,1,1,1,1,1,0,0,20260126,20270201
91774,1,1,1,1,1,0,0,20260126,20270201
90522,0,0,0,0,0,1,1,20260118,20270201
77444,1,1,1,1,1,0,0,20250829,20270201
85745,0,0,0,0,0,1,1,20251122,20270201
91182,1,1,1,1,1,0,0,20260118,20270201
91184,0,0,0,0,0,1,1,20260118,20270201
91185,0,0,0,0,0,1,1,20260118,20270201
91178,0,0,0,0,0,1,1,20260118,20270201
84868,1,1,1,1,1,0,0,20251113,20270201
89510,0,0,0,0,0,1,1,20260101,20270201
91181,1,1,1,1,1,0,0,20260118,20270201
91183,1,1,1,1,1,0,0,20260118,20270201
91070,1,1,1,1,1,0,0,20260117,20270201
60703,0,0,0,0,0,1,1,20250315,20270201
91186,1,1,1,1,1,0,0,20260118,20270201
91187,0,0,0,0,0,1,1,20260118,20270201
91771,1,1,1,1,1,0,0,20260126,20270201
91190,0,0,0,0,0,1,1,20260118,20270201
73158,1,1,1,1,1,0,0,20250721,20270201
73159,0,0,0,0,0,1,1,20250719,20270201
62368,1,1,1,1,1,0,0,20250401,20270201
91191,1,1,1,1,1,0,0,20260118,20270201
91064,0,0,0,0,0,1,1,20260118,20270201
91775,1,1,1,1,1,0,0,20260126,20270201
89512,0,0,0,0,0,1,1,20260101,20270201
84872,1,1,1,1,1,0,0,20251113,20270201
84873,1,1,1,1,1,0,0,20251113,20270201
89514,0,0,0,0,0,1,1,20260101,20270201
89515,0,0,0,0,0,1,1,20260101,20270201
89513,0,0,0,0,0,1,1,20260101,20270201
91776,1,1,1,1,1,0,0,20260126,20270201
85741,0,0,0,0,0,1,1,20251122,20270201
80757,1,1,1,1,1,0,0,20251002,20270201
76149,0,0,0,0,0,1,1,20250817,20270201
71415,0,0,0,0,0,1,1,20250704,20270201
86472,0,0,0,0,0,1,1,20251129,20270201
93059,1,1,1,1,1,0,0,20260207,20270201
91072,1,1,1,1,1,0,0,20260117,20270201
91073,1,1,1,1,1,0,0,20260117,20270201
91071,0,0,0,0,0,1,1,20260118,20270201
91193,1,1,1,1,1,0,0,20260118,20270201
91194,0,0,0,0,0,1,1,20260118,20270201
77641,1,1,1,1,1,0,0,20250901,20270201
77642,1,1,1,1,1,0,0,20250901,20270201
89516,0,0,0,0,0,1,1,20260101,20270201
85744,0,0,0,0,0,1,1,20251122,20270201
91777,1,1,1,1,1,0,0,20260126,20270201
91768,1,1,1,1,1,0,0,20260126,20270201
91769,0,0,0,0,0,1,1,20260124,20270201
84874,1,1,1,1,1,0,0,20251113,20270201
85729,0,0,0,0,0,1,1,20251122,20270201
92229,1,1,1,1,1,0,0,20260129,20270201
92230,0,0,0,0,0,1,1,20260129,20270201
47255,1,1,1,1,1,0,0,20241021,20270201
91172,1,1,1,1,1,0,0,20260118,20270201
91195,0,0,0,0,0,1,1,20260118,20270201
47254,1,1,1,1,1,0,0,20241021,20270201
78945,1,1,1,1,1,0,0,20250915,20270201
77665,1,1,1,1,1,0,0,20250901,20270201
89518,0,0,0,0,0,1,1,20260101,20270201
83220,1,1,1,1,1,0,0,20251028,20270201
89517,0,0,0,0,0,1,1,20260101,20270201
87140,1,1,1,1,1,0,0,20251208,20270201
89520,0,0,0,0,0,1,1,20260101,20270201
83222,1,1,1,1,1,0,0,20251028,20270201
83217,0,0,0,0,0,1,1,20251101,20270201
75410,1,1,1,1,1,0,0,20250810,20270201
85770,0,0,0,0,0,1,1,20251122,20270201
87138,1,1,1,1,1,0,0,20251208,20270201
89519,0,0,0,0,0,1,1,20260101,20270201
83223,1,1,1,1,1,0,0,20251028,20270201
83216,0,0,0,0,0,1,1,20251101,20270201
79326,1,1,1,1,1,0,0,20250917,20270201
86746,1,1,1,1,1,0,0,20251202,20270201
86745,1,1,1,1,1,0,0,20251202,20270201
86747,0,0,0,0,0,1,1,20251206,20270201
