service_id,date,exception_type
91170,20270117,2
91170,20270102,2
91170,20261117,2
91170,20270101,2
91170,20260501,2
91170,20260504,2
91170,20260623,2
91170,20260624,2
91170,20261118,2
91170,20261224,2
91170,20261225,2
91170,20261226,2
91170,20261231,2
91171,20270117,2
91171,20270102,2
91171,20261117,2
91171,20270101,2
91171,20260501,2
91171,20260504,2
91171,20260623,2
91171,20260624,2
91171,20261118,2
91171,20261224,2
91171,20261225,2
91171,20261226,2
91171,20261231,2
91173,20270117,1
91173,20270102,1
91173,20261117,1
91173,20270101,1
91173,20260501,1
91173,20260504,1
91173,20260623,1
91173,20260624,1
91173,20261118,1
91173,20261224,1
91173,20261225,1
91173,20261226,1
91173,20261231,1
91062,20270117,2
91062,20270102,2
91062,20261117,2
91062,20270101,2
91062,20260501,2
91062,20260504,2
91062,20260623,2
91062,20260624,2
91062,20261118,2
91062,20261224,2
91062,20261225,2
91062,20261226,2
91062,20261231,2
91065,20270117,1
91065,20270102,1
91065,20261117,1
91065,20270101,1
91065,20260501,1
91065,20260504,1
91065,20260623,1
91065,20260624,1
91065,20261118,1
91065,20261224,1
91065,20261225,1
91065,20261226,1
91065,20261231,1
84864,20270117,2
84864,20270102,2
84864,20261117,2
84864,20270101,2
84864,20260501,2
84864,20260504,2
84864,20260623,2
84864,20260624,2
84864,20261118,2
84864,20261224,2
84864,20261225,2
84864,20261226,2
84864,20261231,2
84715,20270117,1
84715,20270102,1
84715,20261117,1
84715,20270101,1
84715,20260501,1
84715,20260504,1
84715,20260623,1
84715,20260624,1
84715,20261118,1
84715,20261224,1
84715,20261225,1
84715,20261226,1
84715,20261231,1
90513,20270117,2
90513,20270102,2
90513,20261117,2
90513,20270101,2
90513,20260501,2
90513,20260504,2
90513,20260623,2
90513,20260624,2
90513,20261118,2
90513,20261224,2
90513,20261225,2
90513,20261226,2
90513,20261231,2
90514,20270117,1
90514,20270102,1
90514,20261117,1
90514,20270101,1
90514,20260501,1
90514,20260504,1
90514,20260623,1
90514,20260624,1
90514,20261118,1
90514,20261224,1
90514,20261225,1
90514,20261226,1
90514,20261231,1
84865,20270117,2
84865,20270102,2
84865,20261117,2
84865,20270101,2
84865,20260501,2
84865,20260504,2
84865,20260623,2
84865,20260624,2
84865,20261118,2
84865,20261224,2
84865,20261225,2
84865,20261226,2
84865,20261231,2
86469,20270117,1
86469,20270102,1
86469,20261117,1
86469,20270101,1
86469,20260501,1
86469,20260504,1
86469,20260623,1
86469,20260624,1
86469,20261118,1
86469,20261224,1
86469,20261225,1
86469,20261226,1
86469,20261231,1
91770,20270117,2
91770,20270102,2
91770,20261117,2
91770,20270101,2
91770,20260501,2
91770,20260504,2
91770,20260623,2
91770,20260624,2
91770,20261118,2
91770,20261224,2
91770,20261225,2
91770,20261226,2
91770,20261231,2
85728,20270117,1
85728,20270102,1
85728,20261117,1
85728,20270101,1
85728,20260501,1
85728,20260504,1
85728,20260623,1
85728,20260624,1
85728,20261118,1
85728,20261224,1
85728,20261225,1
85728,20261226,1
85728,20261231,1
90515,20270117,2
90515,20270102,2
90515,20261117,2
90515,20270101,2
90515,20260501,2
90515,20260504,2
90515,20260623,2
90515,20260624,2
90515,20261118,2
90515,20261224,2
90515,20261225,2
90515,20261226,2
90515,20261231,2
90516,20270117,1
90516,20270102,1
90516,20261117,1
90516,20270101,1
90516,20260501,1
90516,20260504,1
90516,20260623,1
90516,20260624,1
90516,20261118,1
90516,20261224,1
90516,20261225,1
90516,20261226,1
90516,20261231,1
86165,20270117,2
86165,20270102,2
86165,20261117,2
86165,20270101,2
86165,20260501,2
86165,20260504,2
86165,20260623,2
86165,20260624,2
86165,20261118,2
86165,20261224,2
86165,20261225,2
86165,20261226,2
86165,20261231,2
86471,20270117,1
86471,20270102,1
86471,20261117,1
86471,20270101,1
86471,20260501,1
86471,20260504,1
86471,20260623,1
86471,20260624,1
86471,20261118,1
86471,20261224,1
86471,20261225,1
86471,20261226,1
86471,20261231,1
91179,20270117,2
91179,20270102,2
91179,20261117,2
91179,20270101,2
91179,20260501,2
91179,20260504,2
91179,20260623,2
91179,20260624,2
91179,20261118,2
91179,20261224,2
91179,20261225,2
91179,20261226,2
91179,20261231,2
91180,20270117,1
91180,20270102,1
91180,20261117,1
91180,20270101,1
91180,20260501,1
91180,20260504,1
91180,20260623,1
91180,20260624,1
91180,20261118,1
91180,20261224,1
91180,20261225,1
91180,20261226,1
91180,20261231,1
69155,20270117,2
69155,20270102,2
69155,20261117,2
69155,20270101,2
69155,20260501,2
69155,20260504,2
69155,20260623,2
69155,20260624,2
69155,20261118,2
69155,20261224,2
69155,20261225,2
69155,20261226,2
69155,20261231,2
89506,20270117,1
89506,20270102,1
89506,20261117,1
89506,20270101,1
89506,20260501,1
89506,20260504,1
89506,20260623,1
89506,20260624,1
89506,20261118,1
89506,20261224,1
89506,20261225,1
89506,20261226,1
89506,20261231,1
91063,20270117,2
91063,20270102,2
91063,20261117,2
91063,20270101,2
91063,20260501,2
91063,20260504,2
91063,20260623,2
91063,20260624,2
91063,20261118,2
91063,20261224,2
91063,20261225,2
91063,20261226,2
91063,20261231,2
91066,20270117,1
91066,20270102,1
91066,20261117,1
91066,20270101,1
91066,20260501,1
91066,20260504,1
91066,20260623,1
91066,20260624,1
91066,20261118,1
91066,20261224,1
91066,20261225,1
91066,20261226,1
91066,20261231,1
91188,20270117,2
91188,20270102,2
91188,20261117,2
91188,20270101,2
91188,20260501,2
91188,20260504,2
91188,20260623,2
91188,20260624,2
91188,20261118,2
91188,20261224,2
91188,20261225,2
91188,20261226,2
91188,20261231,2
80764,20270117,1
80764,20270102,1
80764,20261117,1
80764,20270101,1
80764,20260501,1
80764,20260504,1
80764,20260623,1
80764,20260624,1
80764,20261118,1
80764,20261224,1
80764,20261225,1
80764,20261226,1
80764,20261231,1
91189,20270117,2
91189,20270102,2
91189,20261117,2
91189,20270101,2
91189,20260501,2
91189,20260504,2
91189,20260623,2
91189,20260624,2
91189,20261118,2
91189,20261224,2
91189,20261225,2
91189,20261226,2
91189,20261231,2
91174,20270117,2
91174,20270102,2
91174,20261117,2
91174,20270101,2
91174,20260501,2
91174,20260504,2
91174,20260623,2
91174,20260624,2
91174,20261118,2
91174,20261224,2
91174,20261225,2
91174,20261226,2
91174,20261231,2
91175,20270117,1
91175,20270102,1
91175,20261117,1
91175,20270101,1
91175,20260501,1
91175,20260504,1
91175,20260623,1
91175,20260624,1
91175,20261118,1
91175,20261224,1
91175,20261225,1
91175,20261226,1
91175,20261231,1
77633,20270117,2
77633,20270102,2
77633,20261117,2
77633,20270101,2
77633,20260501,2
77633,20260504,2
77633,20260623,2
77633,20260624,2
77633,20261118,2
77633,20261224,2
77633,20261225,2
77633,20261226,2
77633,20261231,2
85733,20270117,1
85733,20270102,1
85733,20261117,1
85733,20270101,1
85733,20260501,1
85733,20260504,1
85733,20260623,1
85733,20260624,1
85733,20261118,1
85733,20261224,1
85733,20261225,1
85733,20261226,1
85733,20261231,1
91176,20270117,2
91176,20270102,2
91176,20261117,2
91176,20270101,2
91176,20260501,2
91176,20260504,2
91176,20260623,2
91176,20260624,2
91176,20261118,2
91176,20261224,2
91176,20261225,2
91176,20261226,2
91176,20261231,2
91177,20270117,1
91177,20270102,1
91177,20261117,1
91177,20270101,1
91177,20260501,1
91177,20260504,1
91177,20260623,1
91177,20260624,1
91177,20261118,1
91177,20261224,1
91177,20261225,1
91177,20261226,1
91177,20261231,1
91773,20270117,2
91773,20270102,2
91773,20261117,2
91773,20270101,2
91773,20260501,2
91773,20260504,2
91773,20260623,2
91773,20260624,2
91773,20261118,2
91773,20261224,2
91773,20261225,2
91773,20261226,2
91773,20261231,2
91772,20270117,2
91772,20270102,2
91772,20261117,2
91772,20270101,2
91772,20260501,2
91772,20260504,2
91772,20260623,2
91772,20260624,2
91772,20261118,2
91772,20261224,2
91772,20261225,2
91772,20261226,2
91772,20261231,2
91774,20270117,2
91774,20270102,2
91774,20261117,2
91774,20270101,2
91774,20260501,2
91774,20260504,2
91774,20260623,2
91774,20260624,2
91774,20261118,2
91774,20261224,2
91774,20261225,2
91774,20261226,2
91774,20261231,2
90522,20270117,1
90522,20270102,1
90522,20261117,1
90522,20270101,1
90522,20260501,1
90522,20260504,1
90522,20260623,1
90522,20260624,1
90522,20261118,1
90522,20261224,1
90522,20261225,1
90522,20261226,1
90522,20261231,1
77444,20270117,2
77444,20270102,2
77444,20261117,2
77444,20270101,2
77444,20260501,2
77444,20260504,2
77444,20260623,2
77444,20260624,2
77444,20261118,2
77444,20261224,2
77444,20261225,2
77444,20261226,2
77444,20261231,2
85745,20270117,1
85745,20270102,1
85745,20261117,1
85745,20270101,1
85745,20260501,1
85745,20260504,1
85745,20260623,1
85745,20260624,1
85745,20261118,1
85745,20261224,1
85745,20261225,1
85745,20261226,1
85745,20261231,1
91182,20270117,2
91182,20270102,2
91182,20261117,2
91182,20270101,2
91182,20260501,2
91182,20260504,2
91182,20260623,2
91182,20260624,2
91182,20261118,2
91182,20261224,2
91182,20261225,2
91182,20261226,2
91182,20261231,2
91184,20270117,1
91184,20270102,1
91184,20261117,1
91184,20270101,1
91184,20260501,1
91184,20260504,1
91184,20260623,1
91184,20260624,1
91184,20261118,1
91184,20261224,1
91184,20261225,1
91184,20261226,1
91184,20261231,1
91185,20270117,1
91185,20270102,1
91185,20261117,1
91185,20270101,1
91185,20260501,1
91185,20260504,1
91185,20260623,1
91185,20260624,1
91185,20261118,1
91185,20261224,1
91185,20261225,1
91185,20261226,1
91185,20261231,1
91178,20270117,1
91178,20270102,1
91178,20261117,1
91178,20270101,1
